start_station_id,start_station_lat,start_station_lon
31310,38.955016,-77.069956
31090,38.864702,-77.048672
31510,38.927095,-76.978924
32026,38.977933,-77.006472
31408,38.975219,-77.016855
31043,38.810743,-77.044664
31080,38.897612,-77.080851
31301,38.938736,-77.087171
32012,38.99521,-77.02918
32002,38.981103,-77.097426
32048,38.984691,-77.094537
31044,38.805317,-77.049883
32014,38.961763,-77.085998
31065,38.880705,-77.08596
31086,38.82595,-77.058541
31009,38.848441,-77.051516
31074,38.869418,-77.095596
31029,38.896923,-77.086502
31087,38.820932,-77.053096
31010,38.8426,-77.0502
31051,38.889365,-77.077294
31060,38.84232,-77.089555
32000,38.988562,-77.096539
31041,38.803124,-77.040363
31031,38.89054,-77.08095
31017,38.891696,-77.0846
31047,38.814577,-77.052808
31020,38.8904,-77.0889
31025,38.88397,-77.10783
32019,38.990249,-77.02935
31021,38.8881,-77.09308
31023,38.885801,-77.097745
31001,38.85725,-77.05332
31066,38.867262,-77.072315
31807,38.863897,-76.990037
31805,38.873057,-76.971015
31804,38.865784,-76.9784
31082,38.801111,-77.068952
31024,38.882788,-77.103148
31067,38.862478,-77.086599
32024,38.989724,-77.023854
31012,38.850688,-77.05152
31018,38.892164,-77.079375
31700,38.8601,-76.9672
31070,38.873755,-77.089233
31093,38.898984,-77.078317
31032,38.880834,-77.091129
31088,38.833077,-77.059821
32046,38.964992,-77.103381
32034,38.992679,-77.029457
32010,38.98128,-77.011336
32006,38.987,-77.029417
31034,38.882629,-77.109366
31309,38.954812,-77.082426
31071,38.86646,-77.04826
32040,38.96115,-77.088659
31083,38.82175,-77.047494
32029,38.977093,-77.094589
31004,38.857866,-77.05949
31013,38.853531,-77.053509
31052,38.844015,-77.050537
31075,38.866471,-77.076131
31078,38.869442,-77.104503
31033,38.8815,-77.10396
31079,38.894941,-77.09169
31038,38.883921,-77.116817
31315,38.96497,-77.075946
31800,38.843222,-76.999388
31710,38.898536,-76.931862
31704,38.901385,-76.941877
31803,38.866611,-76.985238
31703,38.897063,-76.947446
31802,38.867373,-76.988039
31706,38.86559,-76.952103
31801,38.862669,-76.994637
31711,38.908473,-76.933099
32021,38.982456,-77.091991
32035,38.999388,-77.031555
32050,38.997653,-77.034499
31057,38.8444,-77.085931
32013,38.983525,-77.095367
31042,38.804718,-77.043363
32049,38.986743,-77.000035
31072,38.837666,-77.09482
31035,38.876393,-77.107735
32008,38.98954,-77.098029
32007,39.084125,-77.151291
31036,38.87887,-77.1207
31084,38.802677,-77.063562
32011,38.983627,-77.006311
32028,38.990639,-77.100239
31045,38.805648,-77.05293
32027,38.992375,-77.100104
31095,38.862467,-77.068242
31063,38.852248,-77.105022
31061,38.848454,-77.084918
31069,38.871822,-77.107906
31054,38.857803,-77.086733
31702,38.878,-76.9607
31085,38.820064,-77.057619
