start_station_id,start_station_lat,start_station_lon
B32000,42.34872432,-71.08583987
B32002,42.335911,-71.088496
B32003,42.337171,-71.102797
B32004,42.35977,-71.051601
B32005,42.343864,-71.085918
B32006,42.340021,-71.100812
B32007,42.351205,-71.043983
B32008,42.35892,-71.057629
B32010,42.348706,-71.097009
B32011,42.344706,-71.097515
B32012,42.341814,-71.090179
B32013,42.334073,-71.105221
B32014,42.348833,-71.041747
B32015,42.343912,-71.102221
B32016,42.350851,-71.089886
B32017,42.328654,-71.084198
B32018,42.347265,-71.088088
B32020,42.345733,-71.100694
C32000,42.345392,-71.069616
C32001,42.331184,-71.095171
C32002,42.336437,-71.073089
C32003,42.34807412,-71.07657015
C32004,42.340799,-71.081572
C32005,42.3348756,-71.0790969
C32006,42.33849279,-71.07401937
C32007,42.345959,-71.082578
C32008,42.348762,-71.082383
C32009,42.344023,-71.057054
C32010,42.3511,-71.0496
C32012,42.330716,-71.057044
C32013,42.320494,-71.051122
C32014,42.3139036,-71.0405121
C32015,42.325333,-71.075354
C32016,42.335693,-71.045859
C32017,42.335741,-71.03877
C32018,42.320561,-71.06198
C32019,42.31756858,-71.06403709
C32020,42.344827,-71.028664
C32021,42.344796,-71.031614
C32022,42.326599,-71.066498
C32023,42.336448,-71.023739
C32024,42.344137,-71.052608
D32000,42.361174,-71.065142
D32001,42.357402,-71.147782
D32002,42.341522,-71.068922
D32003,42.366222,-71.059914
D32004,42.355402,-71.058087
D32005,42.349673,-71.077303
D32006,42.363871,-71.050877
D32007,42.35255006,-71.06782079
D32008,42.357143,-71.050699
D32009,42.360613,-71.057452
D32010,42.362811,-71.056067
D32011,42.351146,-71.066289
D32012,42.356755,-71.055407
D32013,42.350989,-71.073644
D32014,42.354979,-71.063348
D32015,42.351356,-71.059367
D32016,42.36062498,-71.07089996
D32017,42.355596,-71.07278
D32018,42.3475,-71.0441
D32019,42.352409,-71.062679
D32020,42.375603,-71.064608
D32021,42.371848,-71.060292
D32022,42.36588482,-71.06454849
D32023,42.378338,-71.048927
D32024,42.356052,-71.069849
D32026,42.377022,-71.056605
D32027,42.350413,-71.07655
E32001,42.309054,-71.11543
E32002,42.313156,-71.11414
E32003,42.320998,-71.110833
E32004,42.315692,-71.098634
E32005,42.310579,-71.107341
E32006,42.32285835,-71.10034391
K32001,42.341598,-71.123338
K32002,42.339335,-71.13493
K32004,42.346563,-71.128374
M32001,42.370677,-71.076529
M32002,42.366277,-71.09169
M32003,42.362613,-71.084105
M32005,42.3619622,-71.0920526
M32006,42.3581,-71.093198
M32007,42.372969,-71.094445
M32009,42.36346469,-71.10057324
M32010,42.374035,-71.101427
M32011,42.36507,-71.1031
M32012,42.366426,-71.105495
M32013,42.373379,-71.111075
M32014,42.366621,-71.114214
M32016,42.37199165,-71.12226963
M32017,42.373231,-71.120886
M32018,42.373268,-71.118579
M32019,42.366981,-71.076472
M32020,42.379011,-71.119945
M32021,42.376369,-71.114025
M32022,42.356954,-71.113687
M32023,42.377945,-71.116865
M32024,42.380287,-71.125107
M32025,42.397828,-71.130516
M32026,42.370803,-71.104412
M32027,42.366095,-71.086388
M32029,42.387995,-71.119084
M32030,42.36178044,-71.10809952
M32031,42.388966,-71.132788
M32032,42.36356016,-71.08216792
M32033,42.396105,-71.139459
M32034,42.369885,-71.069957
M32036,42.392766,-71.129042
M32037,42.3625,-71.08822
M32038,42.36919032,-71.11714125
S32001,42.386844,-71.09812
S32002,42.379637,-71.095319
S32003,42.37842,-71.105668
S32004,42.383405,-71.107593
S32005,42.385582,-71.113341
S32006,42.396969,-71.123024
S32008,42.400877,-71.116772
S32009,42.40449,-71.123413
S32010,42.39082,-71.10942
S32011,42.402763,-71.126908
S32013,42.398365,-71.107818
