start_station_id,start_station_lat,start_station_lon,Bus_station_number,Subway_station_number
2,41.872638,-87.623979,0,0
3,41.86722596,-87.61535539,0,0
4,41.856268,-87.613348,0,0
5,41.874053,-87.627716,0,0
6,41.88504199,-87.61279454,0,0
7,41.88634906,-87.61751655,0,0
9,41.82879202,-87.68060446,0,0
11,41.76663824,-87.57645011,0,0
12,41.76640946,-87.56568757,0,0
13,41.932418,-87.652705,0,0
14,41.858086,-87.651073,0,0
15,41.858166,-87.656495,0,0
16,41.910337,-87.670072,0,0
17,41.90332,-87.67273,0,0
18,41.88327159,-87.63731329,0,0
19,41.869417,-87.660996,0,0
20,41.910522,-87.653106,0,0
21,41.87772613,-87.65478743,0,0
22,41.8694821,-87.6554864,0,0
23,41.902924,-87.637715,0,0
24,41.89186,-87.62062,0,0
25,41.89766,-87.62351,0,0
26,41.89102,-87.6173,0,0
27,41.91021,-87.6435,0,0
28,41.91468,-87.64332,0,0
29,41.90068,-87.6626,0,0
30,41.899643,-87.6677,0,0
31,41.896776,-87.635633,0,0
32,41.87464,-87.65703,0,0
33,41.877181,-87.627844,0,0
34,41.92675599,-87.63442878,0,0
35,41.892278,-87.612043,0,0
36,41.87770796,-87.63532114,0,0
37,41.87935636,-87.62979104,0,0
38,41.88602083,-87.63087606,0,0
39,41.87947235,-87.62568861,0,0
40,41.87934437,-87.63198522,0,0
41,41.87207763,-87.62954377,0,0
42,41.852619,-87.626488,0,0
43,41.88389277,-87.62464914,0,0
44,41.8847302,-87.62773357,0,0
45,41.876243,-87.624426,0,0
46,41.89993001,-87.63443007,0,0
47,41.88918,-87.6277,0,0
48,41.897764,-87.642884,0,0
49,41.88131982,-87.62952092,0,0
50,41.87593267,-87.63058454,0,0
51,41.88457623,-87.63188991,0,0
52,41.886024,-87.624117,0,0
53,41.894729,-87.633775,0,0
54,41.89636246,-87.65406127,0,0
55,41.867324,-87.648625,0,0
56,41.88871604,-87.64444785,0,0
57,41.86711778,-87.64108796,0,0
58,41.916017,-87.668879,0,0
59,41.867227,-87.625961,0,0
60,41.91057803,-87.64942193,0,0
61,41.907655,-87.672552,0,0
62,41.85137517,-87.61883465,0,0
66,41.885637,-87.641823,0,0
67,41.92560188,-87.65370804,0,0
68,41.875885,-87.640795,0,0
69,41.90939601,-87.67769193,0,0
71,41.88548331,-87.65230486,0,0
